rank,card
1917,1983
1918,9939
1919,6961
1920,1322
1921,3578
1922,1495
1923,1444
1924,2604
1925,622
1926,8468
1927,1567
1928,6050
1929,3154
1930,7730
1931,9376
1932,2232
1933,9047
1934,6466
1935,6411
1936,3635
1937,7958
1938,1265
1939,5
1940,7941
1941,1806
1942,5608
1943,9424
1944,6426
1945,2930
1946,2082
1947,8380
1948,8094
1949,2184
1950,4580
1951,163
1952,4925
1953,3379
1954,1573
1955,7210
1956,5384
1957,9074
1958,1684
1959,2937
1960,1730
1961,7659
1962,7547
1963,410
1964,6669
1965,3773
1966,2585
1967,6951
1968,6472
1969,864
1970,9782
1971,4537
1972,5867
1973,5505
1974,9650
1975,4781
1976,66
1977,153
1978,7157
1979,3203
1980,7029
1981,9392
1982,3629
1983,9602
1984,822
1985,3665
1986,2528
1987,3207
1988,3997
1989,7714
1990,3450
1991,557
1992,2102
1993,327
1994,9455
1995,2504
1996,2559
1997,6027
1998,1296
1999,9974
2000,8031
2001,2275
2002,7818
2003,7817
2004,811
2005,8617
2006,7721
2007,3282
2008,4493
2009,7273
2010,7767
2011,2173
2012,7398
2013,6337
2014,2662
2015,5122
2016,1031
2017,3475
2018,1777
2019,1546
2020,1361
2021,3356
2022,4519
2023,9879
2024,4041
2025,8304
2026,7535
2027,4884
2028,4042
2029,7482
2030,4105
2031,8918
2032,6148
2033,6489
2034,4968
2035,7640
2036,5105
2037,5031
2038,9097
2039,1749
2040,7387
2041,2533
2042,5434
2043,2016
2044,9220
2045,7138
2046,5304
2047,3394
2048,3663
2049,5833
2050,2042
2051,9237
2052,9517
2053,3198
2054,5650
2055,6228
2056,1913
2057,8267
2058,8143
2059,9821
2060,7221
2061,8090
2062,5547
2063,7229
2064,8736
2065,1982
2066,5747
2067,4352
2068,950
2069,9678
2070,1782
2071,2968
2072,314
2073,1126
2074,2231
2075,5087
2076,6502
2077,5303
2078,2153
2079,5224
2080,3365
2081,6978
2082,4803
2083,3073
2084,8685
2085,8345
2086,2467
2087,7850
2088,2554
2089,2437
2090,1823
2091,3196
2092,9623
2093,1860
2094,796
2095,4511
2096,1451
2097,8698
2098,7466
2099,7972
2100,186
2101,5707
2102,6936
2103,6494
2104,5522
2105,3065
2106,7575
2107,9156
2108,7033
2109,7292
2110,9872
2111,3514
2112,3709
2113,7107
2114,713
2115,1645
2116,6729
2117,1134
2118,4853
2119,4685
2120,625
2121,5229
2122,5575
2123,2438
2124,985
2125,5210
2126,8150
2127,3090
2128,9956
2129,3564
2130,6107
2131,3399
2132,9059
2133,8395
2134,9214
2135,4636
2136,6645
2137,3231
2138,1838
